,Spectrum,Jobs,Trending
Python,100.0,88.21651034,100.0
C++,88.58016118,47.76638668,53.25965019
Java,70.22000411,95.07035896,74.19311825
C,96.80210334,48.50726945,66.68585284
C#,86.99247287,63.18526596,48.58826342
PHP,12.8619383,9.922473216,26.16299392
R,18.92305376,3.111243257,18.90371487
JavaScript,40.47836599,71.17688785,60.16669178
Go,13.06088303,12.95509385,20.88338075
Assembly,5.72653407,1.016811491,11.56392381
Matlab,8.072910904,3.776259633,8.87716313
Scala,8.713247295,16.76460243,7.717210016
Ruby,9.36604671,14.06253654,9.490384454
HTML,17.96736647,37.028321,25.08067509
Arduino,3.175945753,0.085704354,12.84159286
Shell,10.11783664,16.43894911,12.29765415
Perl,4.952949528,9.656154987,4.479691002
Swift,3.323476928,2.246183912,10.54550457
Objective-C,4.304405049,5.001241209,5.049231863
Lua,1.340354657,0.427898656,5.361333238
Fortran,0.585151186,0.258500855,1.250988746
SQL,47.3687402,100.0,45.5106045
Haskell,0.937236415,0.226949447,4.553548057
VHDL,2.132976199,1.026922896,1.140716641
Visual Basic,2.04420391,1.867708577,5.260721218
Cuda,2.457388517,0.683000811,5.355587481
Rust,5.011730836,2.94751036,17.07426689
Verilog,3.306868055,1.86156333,1.500585762
D,3.147797087,0.0,15.06958138
Pascal/Delphi,0.688528403,0.169397801,1.526555747
Julia,2.651706926,0.314664709,3.750930381
Lisp,0.77098697,0.118501993,3.544796288
Prolog,0.441582321,0.06698307,1.494984846
LabView,1.963381632,0.482816279,1.741322408
Erlang,0.295991236,0.251703455,0.812939278
SAS,7.346561937,9.326905753,14.91388541
Clojure,0.531940878,0.544248179,1.103757761
Cobol,0.915385195,1.030547854,2.168301333
ABAP,0.977579977,0.985883198,2.701458356
TCL,0.574006361,1.13072542,0.566022613
Ada,1.161190402,0.791929818,3.948829285
Scheme,0.994520131,0.008043631,1.811398815
J,0.204319781,0.0,1.124644724
Ocaml,0.422918484,0.0488849,0.945019211
Ladder Logic,0.302579092,0.186108178,0.976033131
Groovy,1.635913753,3.304687255,1.210047432
Dart,4.179632031,1.480141808,14.78713366
CoffeeScript,0.025980981,0.032174523,0.0
Forth,0.170146983,0.163988193,0.572606616
Kotlin,5.712685875,8.039583617,8.238737497
Elixir,0.883519508,0.872366127,2.14818147
F#,0.875383917,0.0,4.464114268
Eiffel,0.0,0.0,0.045640158
Elm,0.168460091,0.243178271,0.427434258
WebAssembly,0.050704932,0.132578347,0.054943926
TypeScript,16.98592102,30.57311366,13.02380573
Raku,0.147349986,0.0,0.929997455
